Contador: 48, ContadorDos: 96, ContadorDiez: 480
Contador: 49, ContadorDos: 98, ContadorDiez: 490
Contador: 50, ContadorDos: 100, ContadorDiez: 500
Contador: 51, ContadorDos: 102, ContadorDiez: 510
Contador: 52, ContadorDos: 104, ContadorDiez: 520
Contador: 53, ContadorDos: 106, ContadorDiez: 530
Contador: 54, ContadorDos: 108, ContadorDiez: 540
Contador: 55, ContadorDos: 110, ContadorDiez: 550
Contador: 56, ContadorDos: 112, ContadorDiez: 560
Contador: 57, ContadorDos: 114, ContadorDiez: 570
Contador: 58, ContadorDos: 116, ContadorDiez: 580
Contador: 59, ContadorDos: 118, ContadorDiez: 590
Contador: 60, ContadorDos: 120, ContadorDiez: 600
Contador: 61, ContadorDos: 122, ContadorDiez: 610
Contador: 97, ContadorDos: 194, ContadorDiez: 970
Contador: 98, ContadorDos: 196, ContadorDiez: 980
Contador: 99, ContadorDos: 198, ContadorDiez: 990
Contador: 100, ContadorDos: 200, ContadorDiez: 1000
Contador: 101, ContadorDos: 202, ContadorDiez: 1010
Contador: 102, ContadorDos: 204, ContadorDiez: 1020
Contador: 103, ContadorDos: 206, ContadorDiez: 1030
Contador: 104, ContadorDos: 208, ContadorDiez: 1040
Contador: 105, ContadorDos: 210, ContadorDiez: 1050
Contador: 106, ContadorDos: 212, ContadorDiez: 1060
Contador: 107, ContadorDos: 214, ContadorDiez: 1070
Contador: 108, ContadorDos: 216, ContadorDiez: 1080
Contador: 109, ContadorDos: 218, ContadorDiez: 1090
Contador: 110, ContadorDos: 220, ContadorDiez: 1100
